province,housing_type,age,floor,m_2,room_number,price
Adalar,Daire,33,3,140,3+1,4800000
Adalar,Daire,31,2,138,4+1,8500000
Adalar,Daire,36,1,59,1+1,2475000
Adalar,Daire,35,3,227,6+1,8500000
Adalar,Daire,40,2,150,3+2,5900000
Adalar,Daire,44,4,190,4+1,6500000
Adalar,Daire,30,2,160,4+1,7200000
Adalar,Daire,30,3,185,3+1,13120000
Adalar,Daire,44,2,114,3+1,4500000
Adalar,Daire,27,2,135,3+1,6875000
Adalar,Daire,20,2,80,2+1,5750000
Adalar,Daire,30,2,140,3+1,9500000
Adalar,Daire,30,3,137,3+1,3900000
Adalar,Daire,39,1,56,1+1,2490000
Adalar,Daire,35,2,110,3+1,4900000
Adalar,Daire,30,4,198,4+1,4500000
Adalar,Daire,40,1,90,2+1,3750000
Adalar,Daire,35,1,110,3+1,5650000
Adalar,Daire,38,3,120,3+1,7500000
Adalar,Daire,24,3,150,3+1,7900000
Adalar,Daire,31,3,110,3+1,4250000
Adalar,Daire,28,2,80,1+1,2800000
Adalar,Daire,25,1,85,2+1,3700000
Adalar,Daire,26,2,140,3+1,4500000
Adalar,Daire,31,3,160,3+1,4200000
Adalar,Daire,50,2,250,4+1,6200000
Adalar,Daire,Sıfır Bina,3,230,4+1,10000000
Adalar,Daire,37,1,98,3+1,4150000
Adalar,Daire,25,3,135,3+2,4000000
Adalar,Daire,31,3,110,3+1,3200000
Adalar,Daire,31,3,200,4+2,7700000
Adalar,Daire,35,2,130,3+1,4000000
Adalar,Daire,33,2,160,3+1,8500000
Adalar,Daire,25,2,90,2+1,2750000
Adalar,Daire,30,2,115,3+1,5000000
Adalar,Daire,50,4,200,1+1,5250000
Adalar,Daire,31,1,90,2+1,1900000
Adalar,Daire,31,2,140,3+1,7500000
Adalar,Daire,25,3,334,6+3,8250000
Adalar,Daire,35,2,200,4+1,10500000
Adalar,Daire,25,2,110,2+1,4350000
Adalar,Daire,32,3,90,2+1,8000000
Adalar,Daire,30,3,135,3+1,5000000
Adalar,Daire,1,3,110,3+1,6000000
Adalar,Daire,10,3,90,1+1,7500000
Adalar,Daire,35,1,140,4+2,5700000
Adalar,Daire,10,1,112,2+1,7500000
Adalar,Daire,10,2,103,2+1,7500000
Adalar,Daire,31,3,150,3+1,5800000
Adalar,Daire,25,2,130,3+1,5500000
Adalar,Daire,41,2,160,4+1,5450000
Adalar,Daire,35,2,85,2+1,4500000
Adalar,Daire,20,1,90,2+1,1900000
Adalar,Daire,35,2,400,4+2,10750000
Adalar,Daire,31,3,120,3+1,5900000
Adalar,Daire,37,1,114,2+1,3200000
Adalar,Daire,16,5,140,3+1,14500000
Adalar,Daire,31,3,137,3+1,3900000
Adalar,Daire,40,4,279,5+2,14000000
Adalar,Daire,21,3,170,4+1,6250000
Adalar,Daire,40,3,130,3+1,6000000
Adalar,Daire,26,2,130,3+1,5900000
Adalar,Daire,31,2,120,3+1,3350000
Adalar,Daire,37,2,90,2+1,3000000
Adalar,Daire,30,2,330,7+3,9500000
Adalar,Daire,32,3,148,2+1,9500000
Adalar,Daire,31,4,198,4+1,4500000
Adalar,Daire,35,2,130,3+1,9500000
Adalar,Daire,30,2,160,4+1,5850000
Adalar,Daire,32,2,105,3+1,6000000
Adalar,Daire,30,2,130,3+2,6500000
Adalar,Daire,17,1,100,2+1,3500000
Adalar,Yalı Dairesi,41,2,138,3+1,9450000
Adalar,Yalı Dairesi,27,3,170,4+1,19950000
Adalar,Yalı Dairesi,30,2,180,3+1,9900000
Adalar,Yalı Dairesi,25,2,140,3+1,9900000
Arnavutköy,Daire,Sıfır Bina,4,160,3+2,2565000
Arnavutköy,Daire,1,3,165,4+2,1950000
Arnavutköy,Daire,Sıfır Bina,4,185,4+2,3000000
Arnavutköy,Daire,4,5,160,4+1,5950000
Arnavutköy,Daire,12,8,85,2+1,1500000
Arnavutköy,Daire,1,1,80,2+1,1700000
Arnavutköy,Daire,8,2,120,3+1,2100000
Arnavutköy,Daire,2,2,110,2+1,2300000
Arnavutköy,Daire,Sıfır Bina,3,260,6+2,2950000
Arnavutköy,Daire,Sıfır Bina,5,185,4+1,2990000
Arnavutköy,Daire,12,2,75,2+1,1250000
Arnavutköy,Daire,7,1,120,2+1,1690000
Arnavutköy,Daire,Sıfır Bina,1,100,2+1,1650000
Arnavutköy,Daire,5,11,66,1+1,1420000
Arnavutköy,Daire,10,3,180,3+2,1850000
Arnavutköy,Daire,Sıfır Bina,4,215,4+2,3050000
Arnavutköy,Daire,Sıfır Bina,1,120,3+1,1970000
Arnavutköy,Daire,5,1,125,3+1,2100000
Arnavutköy,Daire,5,4,100,2+1,3300000
Arnavutköy,Daire,6,1,105,2+1,1450000
Arnavutköy,Daire,Sıfır Bina,1,100,2+1,1575000
Arnavutköy,Daire,Sıfır Bina,5,250,5+3,3170000
Arnavutköy,Daire,Sıfır Bina,4,240,4+2,2195000
Arnavutköy,Daire,Sıfır Bina,2,70,1+1,1850000
Arnavutköy,Daire,Sıfır Bina,1,135,3+1,1890000
Arnavutköy,Daire,3,5,180,4+2,2750000
Arnavutköy,Daire,Sıfır Bina,2,135,3+1,1930000
Arnavutköy,Daire,16,1,143,3+1,3400000
Arnavutköy,Daire,4,1,105,2+1,1475000
Arnavutköy,Daire,Sıfır Bina,1,95,2+1,1350000
Arnavutköy,Daire,Sıfır Bina,2,80,2+1,1500000
Arnavutköy,Daire,Sıfır Bina,1,110,3+1,1850000
Arnavutköy,Daire,5,3,210,3+2,2300000
Arnavutköy,Daire,Sıfır Bina,1,100,2+1,1750000
Arnavutköy,Daire,Sıfır Bina,4,110,3+2,1750000
Arnavutköy,Daire,5,1,84,2+1,1350000
Arnavutköy,Daire,Sıfır Bina,1,122,3+1,2500000
Arnavutköy,Daire,Sıfır Bina,1,100,2+1,1750000
Arnavutköy,Daire,5,1,84,2+1,1350000
Arnavutköy,Daire,15,2,140,3+1,2550000
Arnavutköy,Daire,5,4,84,2+1,1350000
Arnavutköy,Daire,6,3,160,4+1,3400000
Arnavutköy,Daire,Sıfır Bina,2,90,2+1,1650000
Arnavutköy,Daire,Sıfır Bina,1,98,2+1,1700000
Arnavutköy,Daire,Sıfır Bina,2,103,3+1,3100000
Arnavutköy,Daire,Sıfır Bina,1,115,3+1,1750000
Arnavutköy,Daire,6,3,210,3+2,2300000
Arnavutköy,Daire,4,1,95,2+1,1500000
Arnavutköy,Daire,29,1,105,2+1,1850000
Arnavutköy,Daire,Sıfır Bina,2,135,3+1,3800000
Arnavutköy,Daire,Sıfır Bina,3,115,2+1,3250000
Arnavutköy,Daire,5,2,85,2+1,1600000
Arnavutköy,Daire,Sıfır Bina,2,100,2+1,1320000
Arnavutköy,Daire,4,1,125,3+1,2100000
Arnavutköy,Daire,9,4,85,2+1,2395000
Arnavutköy,Daire,Sıfır Bina,1,100,2+1,2250000
Arnavutköy,Daire,Sıfır Bina,3,165,4+2,2800000
Arnavutköy,Daire,6,4,100,2+1,3300000
Arnavutköy,Daire,5,1,95,2+1,1550000
Arnavutköy,Daire,Sıfır Bina,4,225,6+2,2300000
Arnavutköy,Daire,Sıfır Bina,1,115,3+1,1550000
Arnavutköy,Daire,Sıfır Bina,2,90,2+1,1600000
Arnavutköy,Daire,9,3,130,3+1,1440000
Arnavutköy,Daire,Sıfır Bina,1,100,2+1,1750000
Arnavutköy,Daire,7,1,80,2+1,1250000
Arnavutköy,Daire,Sıfır Bina,3,185,4+2,2500000
Arnavutköy,Daire,7,4,85,2+1,1990000
Arnavutköy,Daire,Sıfır Bina,5,210,4+2,2250000
Arnavutköy,Daire,11,5,144,3+1,3500000
Arnavutköy,Daire,3,2,172,4+2,2690000
Arnavutköy,Daire,Sıfır Bina,3,200,4+2,2650000
Arnavutköy,Daire,Sıfır Bina,1,98,3+1,1785000
Arnavutköy,Daire,13,5,95,2+1,1600000
Arnavutköy,Daire,4,3,130,3+1,3650000
Arnavutköy,Daire,Sıfır Bina,3,200,3+2,1750000
Arnavutköy,Daire,30,2,90,3+1,3500000
Arnavutköy,Daire,Sıfır Bina,3,140,3+1,2600000
Arnavutköy,Daire,4,10,84,2+1,1500000
Arnavutköy,Daire,Sıfır Bina,3,180,4+2,4100000
Arnavutköy,Daire,Sıfır Bina,2,125,3+1,2500000
Arnavutköy,Daire,Sıfır Bina,4,220,4+1,2800000
Arnavutköy,Daire,10,5,85,2+1,2100000
Arnavutköy,Daire,5,4,135,2+1,1425000
Arnavutköy,Daire,Sıfır Bina,3,170,4+1,2800000
Arnavutköy,Daire,11,2,110,2+1,1550000
Arnavutköy,Daire,Sıfır Bina,4,215,6+2,2350000
Arnavutköy,Daire,Sıfır Bina,2,95,2+1,1900000
Arnavutköy,Daire,5,2,150,2+1,1600000
Arnavutköy,Daire,Sıfır Bina,5,181,3+1,3600000
Arnavutköy,Daire,Sıfır Bina,1,95,2+1,1365000
Arnavutköy,Daire,3,1,100,2+1,1550000
Arnavutköy,Daire,Sıfır Bina,3,220,6+2,3000000
Arnavutköy,Daire,Sıfır Bina,5,140,3+1,2400000
Arnavutköy,Daire,14,2,90,2+1,1390000
Arnavutköy,Daire,Sıfır Bina,4,140,3+1,2600000
Arnavutköy,Daire,Sıfır Bina,2,110,2+1,2600000
Arnavutköy,Daire,2,1,95,2+1,1495000
Arnavutköy,Daire,15,5,95,2+1,1600000
Arnavutköy,Daire,12,7,85,2+1,1600000
Arnavutköy,Daire,13,5,95,2+1,1500000
Arnavutköy,Daire,5,2,85,2+1,1425000
Ataşehir,Daire,6,20,145,3+1,18000000
Ataşehir,Daire,30,5,125,3+1,3990000
Ataşehir,Daire,25,2,160,3+1,8000000
Ataşehir,Daire,15,2,120,3+1,3000000
Ataşehir,Daire,Sıfır Bina,3,130,3+1,3200000
Ataşehir,Daire,16,2,145,3+1,2900000
Ataşehir,Daire,30,1,100,2+1,3750000
Ataşehir,Daire,25,8,138,3+2,6300000
Ataşehir,Daire,20,6,140,3+1,5800000
Ataşehir,Daire,4,3,140,4+2,4175000
Ataşehir,Daire,21,5,120,3+1,4390000
Ataşehir,Daire,21,18,70,1+1,4000000
Ataşehir,Daire,27,3,52,1+1,3675000
Ataşehir,Daire,7,7,65,1+1,2500000
Ataşehir,Daire,10,1,85,2+1,2330000
Ataşehir,Daire,7,3,120,2+1,2750000
Ataşehir,Daire,7,2,80,2+1,2050000
Ataşehir,Daire,5,3,125,2+1,2590000
Ataşehir,Daire,4,16,130,2+1,4000000
Ataşehir,Daire,13,3,248,3+1,19500000
Ataşehir,Daire,16,10,156,3+1,5750000
Ataşehir,Daire,10,4,220,3+2,5950000
Ataşehir,Daire,5,17,125,3+1,5850000
Ataşehir,Daire,10,3,100,3+1,3450000
Ataşehir,Daire,11,18,72,1+1,3700000
Ataşehir,Daire,3,5,110,2+1,3400000
Ataşehir,Daire,19,4,325,4+1,5750000
Ataşehir,Daire,9,1,85,2+1,1785000
Ataşehir,Daire,10,18,69,1+1,4100000
Ataşehir,Daire,2,11,90,2+1,3000000
Ataşehir,Daire,20,5,150,3+1,4650000
Ataşehir,Daire,14,1,80,2+1,2350000
Ataşehir,Daire,12,3,125,3+1,2350000
Ataşehir,Daire,6,1,98,2+1,2600000
Ataşehir,Daire,8,1,110,3+1,4250000
Ataşehir,Daire,8,16,40,Stüdyo,2750000
Ataşehir,Daire,25,13,130,3+1,3990000
Ataşehir,Daire,25,2,90,2+1,4350000
Ataşehir,Daire,11,18,72,1+1,3700000
Ataşehir,Daire,30,1,90,2+1,4150000
Ataşehir,Daire,10,3,75,1+1,2000000
Ataşehir,Daire,7,2,55,1+1,1600000
Ataşehir,Daire,Sıfır Bina,3,75,2+1,3500000
Ataşehir,Daire,Sıfır Bina,4,135,3+1,5650000
Ataşehir,Daire,35,2,100,2+1,4750000
Ataşehir,Daire,8,20,55,Stüdyo,3700000
Ataşehir,Daire,30,1,110,2+1,3750000
Ataşehir,Daire,4,2,75,2+1,1700000
Ataşehir,Daire,3,2,80,2+1,2250000
Ataşehir,Daire,10,1,90,2+1,3100000
Ataşehir,Daire,2,1,65,1+1,1900000
Ataşehir,Daire,4,3,115,3+1,3350000
Ataşehir,Daire,8,2,70,1+1,1850000
Ataşehir,Daire,4,16,115,2+1,3350000
Ataşehir,Daire,Sıfır Bina,4,125,3+1,5500000
Ataşehir,Daire,30,1,110,3+1,3500000
Ataşehir,Daire,25,7,180,3+2,5150000
Ataşehir,Daire,20,4,155,3+1,5650000
Ataşehir,Daire,14,4,250,5+2,5950000
Ataşehir,Daire,5,2,75,2+1,2300000
Ataşehir,Daire,9,3,180,4+1,9100000
Ataşehir,Daire,31,7,150,3+1,3100000
Ataşehir,Daire,7,10,258,4+2,12500000
Ataşehir,Daire,14,4,112,2+1,7100000
Ataşehir,Daire,22,8,120,3+1,3100000
Ataşehir,Daire,29,4,130,3+1,2950000
Ataşehir,Daire,16,8,230,4+2,6950000
Ataşehir,Daire,5,5,103,2+1,5550000
Ataşehir,Daire,26,1,90,2+1,4500000
Ataşehir,Daire,21,4,140,3+1,3650000
Ataşehir,Daire,15,1,169,2+1,5500000
Ataşehir,Daire,Sıfır Bina,1,90,2+1,4200000
Ataşehir,Daire,5,8,160,2+1,10500000
Ataşehir,Daire,6,20,145,3+1,18000000
Ataşehir,Daire,Sıfır Bina,8,120,3+1,5250000
Ataşehir,Daire,10,1,177,4+1,6450000
Ataşehir,Daire,5,4,150,3+2,4350000
Ataşehir,Daire,12,6,130,3+1,4000000
Ataşehir,Daire,30,3,110,3+1,4950000
Ataşehir,Daire,25,3,124,3+1,5750000
Ataşehir,Daire,21,8,165,3+1,8250000
Ataşehir,Daire,4,3,135,2+1,3150000
Ataşehir,Daire,30,5,90,2+1,4500000
Ataşehir,Daire,26,1,90,2+1,4500000
Ataşehir,Daire,6,1,110,3+1,2950000
Ataşehir,Daire,30,1,85,2+1,1750000
Ataşehir,Daire,4,3,100,2+1,2800000
Ataşehir,Daire,Sıfır Bina,14,110,3+1,4300000
Ataşehir,Daire,30,1,120,3+1,3450000
Ataşehir,Daire,27,5,137,3+1,6300000
Ataşehir,Daire,30,8,95,3+1,2800000
Ataşehir,Daire,12,2,120,3+1,4995000
Ataşehir,Daire,8,2,105,3+1,2570000
Ataşehir,Daire,5,7,55,1+1,3700000
Ataşehir,Daire,5,3,100,3+1,2500000
Ataşehir,Daire,25,2,124,3+1,5950000
Ataşehir,Daire,25,4,130,3+1,3200000
Ataşehir,Daire,30,13,130,3+1,4225000
Ataşehir,Daire,4,20,85,2+1,4099000
Ataşehir,Daire,21,1,150,3+1,7850000
Ataşehir,Daire,4,2,95,2+1,2675000
Ataşehir,Daire,26,4,107,3+1,5800000
Ataşehir,Daire,13,12,115,2+1,6550000
Ataşehir,Daire,12,2,200,5+2,3150000
Ataşehir,Daire,11,17,188,3+1,13500000
Ataşehir,Daire,15,10,72,1+1,4300000
Ataşehir,Daire,11,1,90,2+1,2300000
Ataşehir,Daire,5,3,135,2+2,3300000
Ataşehir,Daire,25,10,145,3+1,7300000
Ataşehir,Daire,20,3,180,4+1,8700000
Ataşehir,Daire,4,5,103,2+1,3850000
Ataşehir,Daire,13,4,320,4+1,24850000
Ataşehir,Daire,4,3,100,2+1,3000000
Ataşehir,Daire,8,2,120,2+1,5400000
Ataşehir,Daire,15,2,125,3+1,5000000
Ataşehir,Daire,13,8,220,4+1,9500000
Ataşehir,Daire,11,2,105,2+1,2200000
Ataşehir,Daire,10,19,189,3+1,13000000
Ataşehir,Daire,26,2,140,3+1,2850000
Ataşehir,Daire,21,4,104,2+1,1750000
Ataşehir,Daire,3,4,250,4+1,16950000
Ataşehir,Daire,10,3,135,3+1,3250000
Ataşehir,Daire,14,3,150,3+1,2480000
Ataşehir,Daire,30,10,130,3+1,4750000
Ataşehir,Daire,14,2,140,3+1,4250000
Ataşehir,Daire,31,6,145,3+1,2950000
Ataşehir,Daire,5,3,110,2+1,2750000
Ataşehir,Daire,8,2,120,3+1,2550000
Ataşehir,Daire,15,5,150,3+1,5200000
Ataşehir,Daire,9,16,45,Stüdyo,2750000
Ataşehir,Daire,5,3,180,3+1,2900000
Ataşehir,Daire,7,2,150,3+1,5000000
Ataşehir,Daire,14,1,90,2+1,3250000
Ataşehir,Daire,10,5,170,4+2,7400000
Ataşehir,Daire,11,4,230,5+2,4800000
Ataşehir,Daire,4,7,135,2+1,4000000
Ataşehir,Daire,10,11,117,3+1,5450000
Ataşehir,Daire,9,4,120,3+1,3850000
Ataşehir,Daire,2,11,90,2+1,3000000
Ataşehir,Daire,20,1,116,3+1,4800000
Ataşehir,Daire,12,5,125,4+1,4300000
Ataşehir,Daire,4,1,130,3+1,4850000
Ataşehir,Daire,10,2,160,3+1,3699999
Ataşehir,Daire,Sıfır Bina,8,95,2+1,4550000
Ataşehir,Daire,26,8,125,3+1,3800000
Ataşehir,Daire,5,3,55,Stüdyo,2400000
Ataşehir,Daire,6,4,145,3+1,5500000
Ataşehir,Daire,23,2,130,3+1,3850000
Ataşehir,Daire,11,3,125,3+1,2850000
Ataşehir,Daire,6,3,135,2+2,3300000
Ataşehir,Daire,36,2,80,2+1,2200000
Ataşehir,Daire,8,6,78,2+1,2500000
Ataşehir,Daire,23,4,145,3+1,3500000
Ataşehir,Daire,Sıfır Bina,6,120,3+1,5500000
Ataşehir,Daire,5,4,125,3+1,5550000
Ataşehir,Daire,5,10,257,5+2,12500000
Ataşehir,Daire,24,4,185,4+1,6000000
Ataşehir,Daire,30,8,140,3+1,3500000
Ataşehir,Daire,25,1,140,3+1,3250000
Ataşehir,Daire,25,8,143,3+1,5750000
Ataşehir,Daire,2,2,91,2+1,3350000
Ataşehir,Daire,10,4,83,1+1,5350000
Ataşehir,Daire,12,4,200,5+2,4700000
Ataşehir,Daire,31,4,100,3+1,2400000
Ataşehir,Daire,5,5,125,3+1,5550000
Ataşehir,Daire,11,13,140,3+1,7750000
Ataşehir,Daire,32,1,110,2+1,2800000
Ataşehir,Daire,17,3,125,3+1,4150000
Ataşehir,Daire,23,1,93,2+1,3250000
Ataşehir,Daire,2,12,75,2+1,2490000
Ataşehir,Daire,9,3,120,2+1,2950000
Ataşehir,Daire,5,4,115,3+1,3850000
Ataşehir,Daire,13,1,130,3+1,3100000
Ataşehir,Daire,5,13,178,3+1,13750000
Ataşehir,Daire,25,1,145,3+1,7900000
Ataşehir,Daire,12,6,155,3+1,4850000
Ataşehir,Daire,15,8,62,1+1,4200000
Ataşehir,Daire,14,1,120,3+1,2500000
Ataşehir,Daire,10,5,60,1+1,3600000
Ataşehir,Daire,11,2,350,5+1,23500000
Ataşehir,Daire,11,2,147,3+1,8150000
Ataşehir,Daire,21,10,75,1+1,3500000
Ataşehir,Daire,11,8,135,3+1,4700000
Ataşehir,Daire,11,7,155,3+1,7200000
Ataşehir,Daire,14,6,135,3+1,3750000
Ataşehir,Daire,8,3,90,2+1,3050000
Ataşehir,Daire,23,5,138,3+1,4200000
Ataşehir,Daire,4,7,140,4+1,5500000
Ataşehir,Daire,4,1,90,2+1,3025000
Ataşehir,Daire,16,3,250,4+2,5900000
Ataşehir,Daire,10,2,120,3+1,2699000
Ataşehir,Daire,6,8,45,1+1,2350000
Ataşehir,Daire,11,8,157,3+1,7700000
Ataşehir,Daire,25,4,110,2+1,2185000
Ataşehir,Daire,4,3,120,2+1,2830000
Ataşehir,Daire,5,10,88,1+1,5500000
Ataşehir,Daire,26,6,120,3+1,3725000
Ataşehir,Daire,Sıfır Bina,9,98,3+1,4250000
Ataşehir,Daire,4,2,110,2+1,2950000
Ataşehir,Daire,11,6,135,3+1,7150000
Ataşehir,Daire,31,2,140,3+1,3250000
Ataşehir,Daire,10,18,77,1+1,3500000
Ataşehir,Daire,6,1,165,3+1,5500000
Ataşehir,Daire,4,6,90,2+1,2775000
Ataşehir,Daire,10,16,189,3+1,11500000
Ataşehir,Daire,10,6,210,4+1,12250000
Ataşehir,Daire,9,1,65,1+1,3500000
Ataşehir,Daire,22,3,135,3+1,2650000
Ataşehir,Daire,10,2,110,3+1,4150000
Ataşehir,Daire,5,4,88,1+1,5600000
Ataşehir,Daire,5,4,165,3+1,3050000
Ataşehir,Daire,3,4,85,2+1,2700000
Ataşehir,Daire,32,5,100,2+1,2150000
Ataşehir,Daire,3,4,115,2+1,2385000
Ataşehir,Daire,25,5,170,4+1,6300000
Ataşehir,Daire,11,4,200,4+2,4000000
Ataşehir,Daire,15,20,157,3+1,13000000
Ataşehir,Daire,25,1,170,4+1,6990000
Ataşehir,Daire,4,2,85,2+1,2750000
Ataşehir,Daire,5,12,130,2+1,6450000
Ataşehir,Daire,12,2,55,1+1,1875000
Ataşehir,Daire,5,15,120,3+1,5750000
Ataşehir,Daire,11,4,140,3+1,5000000
Ataşehir,Daire,30,3,145,3+1,3900000
Ataşehir,Daire,4,6,75,2+1,2250000
Ataşehir,Daire,26,5,130,3+1,2890000
Ataşehir,Daire,22,5,220,3+2,6500000
Ataşehir,Daire,11,2,90,2+1,2000000
Ataşehir,Daire,7,3,130,3+1,3050000
Ataşehir,Daire,Sıfır Bina,7,102,2+1,4450000
Ataşehir,Daire,5,3,95,2+1,2650000
Ataşehir,Daire,Sıfır Bina,1,95,3+1,4750000
Ataşehir,Daire,5,4,115,3+1,3850000
Ataşehir,Daire,6,11,90,1+1,5250000
Ataşehir,Daire,11,2,140,3+1,5075000
Ataşehir,Daire,5,5,210,6+1,4750000
Ataşehir,Daire,5,19,68,1+1,5650000
Ataşehir,Daire,11,3,135,3+1,3250000
Ataşehir,Daire,5,1,90,2+1,2300000
Ataşehir,Daire,31,14,120,3+1,4500000
Ataşehir,Daire,3,11,125,3+1,3300000
Ataşehir,Daire,4,12,55,Stüdyo,1970000
Ataşehir,Daire,4,2,90,2+1,2100000
Ataşehir,Daire,11,5,125,3+1,2100000
Ataşehir,Daire,5,6,80,2+1,2570000
Ataşehir,Daire,10,19,80,1+1,3300000
Ataşehir,Daire,8,6,165,3+1,6750000
Ataşehir,Daire,9,2,85,2+1,2250000
Ataşehir,Daire,Sıfır Bina,7,90,3+1,4000000
Ataşehir,Daire,5,18,115,2+1,3550000
Ataşehir,Daire,7,1,140,3+1,3400000
Ataşehir,Daire,13,4,210,5+2,5100000
Ataşehir,Daire,10,10,140,3+1,4100000
Ataşehir,Daire,1,3,55,1+1,2000000
Ataşehir,Daire,11,1,120,3+1,3575000
Ataşehir,Daire,27,3,130,3+1,2050000
Ataşehir,Daire,20,18,150,3+1,7500000
Ataşehir,Daire,5,1,105,3+1,3175000
Ataşehir,Daire,20,14,200,4+1,11000000
Ataşehir,Daire,9,15,360,5+1,21000000
Ataşehir,Daire,25,9,230,5+1,7950000
Ataşehir,Daire,26,11,130,3+1,4650000
Ataşehir,Daire,11,16,120,2+1,6250000
Ataşehir,Daire,11,9,125,3+1,4500000
Ataşehir,Daire,21,9,200,4+1,6500000
Ataşehir,Daire,25,4,135,3+1,5800000
Ataşehir,Daire,21,17,150,3+1,5450000
Ataşehir,Daire,15,8,220,4+1,15500000
Ataşehir,Daire,16,6,145,3+1,4350000
Ataşehir,Daire,20,6,170,4+1,6300000
Ataşehir,Daire,2,3,99,2+1,2850000
Ataşehir,Daire,20,6,160,3+1,8250000
Ataşehir,Daire,6,2,75,2+1,2050000
Ataşehir,Daire,14,6,169,2+1,8500000
Ataşehir,Daire,25,2,135,3+1,2750000
Ataşehir,Daire,21,9,145,3+1,6300000
Ataşehir,Daire,31,4,110,3+1,2800000
Ataşehir,Daire,4,4,120,2+1,2200000
Ataşehir,Daire,26,8,110,2+1,3000000
Ataşehir,Daire,11,1,168,3+1,9500000
Ataşehir,Daire,33,5,100,2+1,2000000
Ataşehir,Daire,11,11,90,1+1,3500000
Ataşehir,Daire,48,4,120,3+1,2700000
Ataşehir,Daire,11,1,120,3+1,3950000
Ataşehir,Daire,4,2,200,4+2,5750000
Ataşehir,Daire,20,7,140,3+1,3500000
Ataşehir,Daire,35,2,110,3+1,4000000
Ataşehir,Daire,22,5,100,2+1,2400000
Ataşehir,Daire,16,17,165,4+1,8600000
Ataşehir,Daire,29,1,130,3+1,3500000
Ataşehir,Daire,15,14,65,Stüdyo,2550000
Ataşehir,Daire,3,5,53,1+1,3350000
Ataşehir,Daire,4,1,145,3+1,5250000
Ataşehir,Daire,Sıfır Bina,11,125,3+1,4250000
Ataşehir,Daire,4,1,85,2+1,2200000
Ataşehir,Daire,24,1,70,1+1,1800000
Ataşehir,Daire,20,18,160,4+1,9250000
Ataşehir,Daire,3,4,140,3+1,4550000
Ataşehir,Daire,26,3,140,3+1,2550000
Ataşehir,Daire,9,3,180,3+2,3400000
Ataşehir,Daire,11,2,170,4+1,5000000
Ataşehir,Daire,10,8,160,2+1,10500000
Ataşehir,Daire,5,4,128,2+1,7500000
Ataşehir,Daire,10,3,95,2+1,2950000
Ataşehir,Daire,15,6,145,3+1,4600000
Ataşehir,Daire,12,9,180,3+1,7000000
Ataşehir,Daire,21,15,135,3+1,5500000
Ataşehir,Daire,7,20,120,3+1,6750000
Ataşehir,Daire,8,2,100,2+1,3565000
Ataşehir,Daire,21,2,200,5+1,3850000
Ataşehir,Daire,Sıfır Bina,1,98,3+1,4050000
Ataşehir,Daire,15,7,150,3+1,5500000
Ataşehir,Daire,7,3,85,1+1,1880000
Ataşehir,Daire,13,1,125,3+1,3500000
Ataşehir,Daire,11,4,320,4+1,19000000
Ataşehir,Daire,25,5,140,3+1,7550000
Ataşehir,Daire,1,4,180,5+2,6250000
Ataşehir,Daire,16,4,135,3+1,3100000
Ataşehir,Daire,11,5,170,6+1,5000000
Ataşehir,Daire,10,1,100,2+1,1885000
Ataşehir,Daire,11,2,98,2+1,3200000
Ataşehir,Daire,3,3,80,2+1,2590000
Ataşehir,Daire,4,10,145,3+1,5000000
Ataşehir,Daire,13,2,125,3+1,3500000
Ataşehir,Daire,3,2,80,2+1,1950000
Ataşehir,Daire,9,2,120,3+1,3100000
Ataşehir,Daire,6,1,130,3+1,2950000
Ataşehir,Daire,5,3,210,5+2,3150000
Ataşehir,Daire,31,5,95,2+1,3300000
Ataşehir,Daire,16,3,160,3+1,7600000
Ataşehir,Daire,15,3,125,3+1,4150000
Ataşehir,Daire,5,2,110,3+1,2700000
Ataşehir,Daire,5,4,75,2+1,2900000
Ataşehir,Daire,6,10,38,Stüdyo,2290000
Ataşehir,Daire,8,12,118,3+1,5500000
Ataşehir,Daire,21,14,98,2+1,3800000
Ataşehir,Daire,4,1,80,2+1,2400000
Ataşehir,Daire,11,1,168,3+1,9500000
Ataşehir,Daire,11,1,35,Stüdyo,995000
Ataşehir,Daire,21,13,150,3+1,6800000
Ataşehir,Daire,21,1,120,3+1,3000000
Ataşehir,Daire,24,13,120,3+1,4550000
Ataşehir,Daire,16,1,190,3+1,5350000
Ataşehir,Daire,11,3,130,3+2,2850000
Ataşehir,Daire,25,6,120,3+1,3150000
Ataşehir,Daire,2,2,91,2+1,2820000
Ataşehir,Daire,5,1,167,3+1,6250000
Ataşehir,Daire,5,2,100,2+1,2750000
Ataşehir,Daire,5,18,117,3+1,5350000
Ataşehir,Daire,16,10,140,3+1,5300000
Ataşehir,Daire,22,5,135,3+1,4050000
Ataşehir,Daire,15,14,138,3+1,8800000
Ataşehir,Daire,4,7,80,2+1,2150000
Ataşehir,Daire,9,2,140,3+1,5500000
Ataşehir,Daire,36,4,145,3+1,4150000
Ataşehir,Daire,21,7,146,3+1,5800000
Ataşehir,Daire,4,3,125,3+1,4990000
Ataşehir,Daire,11,4,100,2+1,2850000
Ataşehir,Daire,1,5,120,2+2,3150000
Ataşehir,Daire,10,3,130,3+1,3500000
Ataşehir,Daire,10,1,160,3+1,3000000
Ataşehir,Daire,12,2,350,5+1,23500000
Ataşehir,Daire,10,1,140,3+1,2950000
